APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
osmanabad,black gram,multiplicative,not enough data,multiplicative,multiplicative,osmanabad,maharashtra
rahata,curry leaves,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
varud,castor seed,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
rahata,grapes,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
sonpeth,maize,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
mumbai,mango,multiplicative,not enough data,not enough data,not enough data,mumbai,maharashtra
gadchiroli,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
shahapur,ghosali(bhaji),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
pune,curry leaves,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ahmedpur,tamarind seed,not enough data,multiplicative,multiplicative,multiplicative,latur,maharashtra
ghansawangi,cotton,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
nandgaon khandeshwar,soybean,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
lasalgaon-vinchur,rice(paddy-hus),not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
shirpur,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
kurdwadi-modnimb,green gram,not enough data,multiplicative,not enough data,not enough data,solapur,maharashtra
wardha,green gram,not enough data,multiplicative,multiplicative,multiplicative,wardha,maharashtra
akole,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
varud,orange,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
kurdwadi,chavli (pala),not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
amarawati,potato,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
dharmabad,turmeric,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
kinwat,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
deglur,soybean,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
patan,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
kille dharur,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,beed,maharashtra
jalgaon,tamarind,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
balapur,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
ausa,jaggery,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
latur,coriander (dry),not enough data,not enough data,not enough data,not enough data,latur,maharashtra
manchar,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
chandrapur-ganjwad,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
shirur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
solapur,black gram,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
manmad,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
pavani,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
jalgaon,green gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
udgir,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
chandrapur,ginger (fresh),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
amarawati-fruit and vegetables,onion,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
yeotmal,green gram,multiplicative,multiplicative,not enough data,not enough data,yewatmal,maharashtra
ramtek,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
nandgaon,sorgum(jawar),multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
lakhandur,wheat(husked),not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
bhiwapur,green peas (dry),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
kalamnuri,soybean,multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
taloda,maize,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
kurdwadi,linseed,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
kej,black gram,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
navapur,potato,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
nashik,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
jalna,rajgira,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
manwat,green gram,multiplicative,not enough data,not enough data,not enough data,parbhani,maharashtra
lasur station,bajri,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
aurangabad,tomato,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
atpadi,cotton,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
ramtek,potato,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
sakri,sheep,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
akluj,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
tuljapur,bajri,multiplicative,not enough data,not enough data,not enough data,osmanabad,maharashtra
arvi,soybean,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
panvel,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
hingoli-kanegaon naka,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
navapur,onion,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
solapur,mula shenga,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
chandrapur,snake gourd,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
karmala,maize,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
pandharpur,tomato,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
amarawati,melon,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
akot,maize,multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
nagpur,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
manchar,ground nut pods (dry),multiplicative,not enough data,multiplicative,multiplicative,pune,maharashtra
anajngaon surji,sunflower,not enough data,multiplicative,not enough data,not enough data,amaravathi,maharashtra
akkolkot,green gram,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
risod,turmeric,multiplicative,multiplicative,not enough data,not enough data,wasim,maharashtra
nandurbar,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
chandrapur,green gram,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
sangrampur-varvatbakal,wheat(husked),multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
tiwasa,cotton,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
kalmeshwar,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
korpana,gram,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
jintur-bori,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
jalna,castor seed,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
vadgaon peth,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
kolhapur-laxmipuri,maize,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
sillod-bharadi,mustard,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
korpana,cotton,not enough data,multiplicative,not enough data,not enough data,chandrapur,maharashtra
amarawati-fruit and vegetables,custard apple,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
shirur,chillies(red),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
nira,rice(paddy-hus),not enough data,multiplicative,not enough data,not enough data,pune,maharashtra
amarawati,orange,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
lonand,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
partur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
sillod-bharadi,maize,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
barshi-vairag,wheat(unhusked),not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
pune-moshi,green-peas,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
sakri,gram,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
shahapur,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
rahata,mango(raw),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
dound,cowpea,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
shrirampur,spinach,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
malkapur,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
junnar (bhlhe),male goat,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pune,walvad,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shrirampur,ghosali(bhaji),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
loha,sesamum,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
samudrapur,cotton,multiplicative,not enough data,not enough data,not enough data,wardha,maharashtra
mudkhed,wheat(husked),multiplicative,multiplicative,not enough data,not enough data,nanded,maharashtra
osmanabad,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
indapur-bhigwan,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
phaltan,green chilli,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
anajngaon surji,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
balapur,bajri,not enough data,not enough data,multiplicative,multiplicative,akola,maharashtra
lohara,sorgum(jawar),not enough data,multiplicative,not enough data,not enough data,osmanabad,maharashtra
sillod,other spices,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
mumbai,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
lasalgaon-niphad,wheat(husked),not enough data,not enough data,multiplicative,multiplicative,nasik,maharashtra
amalner,gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
ashti-karanja,pigeon pea (tur),not enough data,multiplicative,multiplicative,multiplicative,wardha,maharashtra
aurangabad,cotton,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
chandur rly.,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
